product_id,Column1,type,category , sub_category
P0069,Bounce Biscuits - Elaichi Creme (Sunfeast),Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0070,Happy Happy Choco-Chip Cookies (Parle),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0071,Top Spin Crackers (Parle),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0072,Biscuit - Nariyal (Patanjali),Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0073,Butter Cookies (Amul),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0074,Chocos Crunchy Bites (Kelloggs),Cream Biscuits & Wafers,Snacks & Branded Foods , Biscuits & Cookies
P0075,Chocos - Magic Hearts (Kelloggs),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0076,Chocos Webs - Spiderman (Kelloggs),Salted Biscuits,Snacks & Branded Foods , Biscuits & Cookies
P0077,"Breakfast Cereal - Chocolate Flavour, Small Pack (Nestle Koko Krunch)",Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0078,Fiber Rich Choclaq (Zerobeli),Cookies,Snacks & Branded Foods , Biscuits & Cookies
P0079,Honey Almond Corn Flakes (Zerobeli),Kids Cereal,Snacks & Branded Foods , Breakfast Cereals
P0080,Centre Filled Cup Cake - with Vanilla Cream (Winkies),Kids Cereal,Snacks & Branded Foods , Breakfast Cereals
P0082,Strawberry Muffils (Britannia),Kids Cereal,Snacks & Branded Foods , Breakfast Cereals
P0083,Centre Filled Chocolate Cake - with Vanilla Cream (Winkies),Kids Cereal,Snacks & Branded Foods , Breakfast Cereals
P0084,Cake NOVO Finger - Chocolate (Winkies),Flakes,Snacks & Branded Foods , Breakfast Cereals
P0085,"Chocolate Roll - Swiss, Mini (Winkies)",Flakes,Snacks & Branded Foods , Breakfast Cereals
P0086,Choco Muffills (Britannia),Muffins & Cup Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0087,Roll Yo! Choco Swiss Roll (Britannia),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0088,Happy Happy Egg Cake - Vanilla (Parle),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0089,Spyroll (Bauli),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0090,Roll - Swiss Single (Dream Bake),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0091,Choco Layer Cake (Britannia),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0092,Gems - Sugar Coated Chocolate (Cadbury),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0093,Shots (Cadbury Dairy Milk),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0094,Xtra Peppermint Flavour - Chewing Gum Stick (Center Fresh),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0095,Chewing Gum Stick - Fruits Flavour (Center Fruit),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0096,Jellicious - Jelimals (Candyman),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
